chr	start	end	EnsemblID	GeneSymbol
1	1	11869	14409	ENSG00000223972	DDX11L1
2	1	14404	29570	ENSG00000227232	WASH7P
3	1	17369	17436	ENSG00000278267	MIR6859-1
4	1	29554	31109	ENSG00000243485	MIR1302-2
5	1	34554	36081	ENSG00000237613	FAM138A
6	1	52473	53312	ENSG00000268020	OR4G4P
7	1	62948	63887	ENSG00000240361	OR4G11P
8	1	69091	70008	ENSG00000186092	OR4F5
9	1	89295	133723	ENSG00000238009	RP11-34P13.7
10	1	89551	91105	ENSG00000239945	RP11-34P13.8
11	1	131025	134836	ENSG00000233750	CICP27
12	1	135141	135895	ENSG00000268903	RP11-34P13.15
13	1	137682	137965	ENSG00000269981	RP11-34P13.16
14	1	139790	140339	ENSG00000239906	RP11-34P13.14
15	1	141474	173862	ENSG00000241860	RP11-34P13.13
16	1	157784	157887	ENSG00000222623	RNU6-1100P
17	1	160446	161525	ENSG00000241599	RP11-34P13.9
18	1	182393	184158	ENSG00000279928	FO538757.2
19	1	184923	200322	ENSG00000279457	FO538757.1
20	1	187891	187958	ENSG00000273874	MIR6859-2
21	1	257864	297502	ENSG00000228463	AP006222.2
22	1	258568	259024	ENSG00000241670	RPL23AP21
23	1	347982	348366	ENSG00000236679	RPL23AP24
24	1	357383	359681	ENSG00000236743	RP5-857K21.15
25	1	358857	366052	ENSG00000236601	RP4-669L17.2
26	1	365389	501617	ENSG00000237094	RP4-669L17.10
27	1	439870	440232	ENSG00000269732	WBP1LP7
28	1	450740	451678	ENSG00000278566	OR4F29
29	1	485026	485208	ENSG00000224813	SEPT14P13
30	1	487101	489906	ENSG00000233653	CICP7
31	1	491225	493241	ENSG00000250575	RP4-669L17.8
32	1	516376	516479	ENSG00000278757	U6
33	1	585989	827796	ENSG00000230021	RP5-857K21.4
34	1	587629	594768	ENSG00000235146	RP5-857K21.2
35	1	629062	629433	ENSG00000225972	MTND1P23
36	1	629640	630683	ENSG00000225630	MTND2P28
37	1	631074	632616	ENSG00000237973	MTCO1P12
38	1	632325	632413	ENSG00000278791	MIR6723
39	1	632757	633438	ENSG00000229344	MTCO2P12
40	1	633535	633741	ENSG00000240409	MTATP8P1
41	1	633696	634376	ENSG00000248527	MTATP6P1
42	1	634376	634922	ENSG00000198744	MTCO3P12
43	1	674842	675265	ENSG00000268663	WBP1LP6
44	1	685716	686654	ENSG00000273547	OR4F16
45	1	720024	720206	ENSG00000283574	RP11-206L10.17
46	1	722092	724903	ENSG00000229376	CICP3
47	1	725885	778626	ENSG00000228327	RP11-206L10.2
48	1	758233	758336	ENSG00000223181	RNU6-1199P
49	1	760911	761989	ENSG00000229905	RP11-206L10.4
50	1	778770	810060	ENSG00000237491	RP11-206L10.9
51	1	800879	817712	ENSG00000230092	RP11-206L10.8
52	1	817371	819837	ENSG00000177757	FAM87B
53	1	825138	859446	ENSG00000228794	LINC01128
54	1	826206	827522	ENSG00000225880	LINC00115
55	1	868071	876903	ENSG00000230368	FAM41C
56	1	873292	874349	ENSG00000234711	TUBB8P11
57	1	874529	877234	ENSG00000283040	FAM166AP3
58	1	904834	915976	ENSG00000272438	RP11-54O7.16
59	1	911435	914948	ENSG00000230699	RP11-54O7.1
60	1	914171	914971	ENSG00000241180	RP11-54O7.2
61	1	916865	921016	ENSG00000223764	RP11-54O7.3
62	1	923928	944581	ENSG00000187634	SAMD11
63	1	944204	959309	ENSG00000188976	NOC2L
64	1	960587	965715	ENSG00000187961	KLHL17
65	1	966497	975865	ENSG00000187583	PLEKHN1
66	1	975204	982093	ENSG00000187642	PERM1
67	1	995966	998051	ENSG00000272512	RP11-54O7.17
68	1	998962	1000172	ENSG00000188290	HES4
69	1	1001138	1014541	ENSG00000187608	ISG15
70	1	1008076	1008229	ENSG00000231702	RP11-54O7.10
71	1	1011997	1013193	ENSG00000224969	RP11-54O7.11
72	1	1020123	1056118	ENSG00000188157	AGRN
73	1	1055033	1056116	ENSG00000242590	RP11-54O7.14
74	1	1059734	1069355	ENSG00000217801	RP11-465B22.3
75	1	1062208	1063288	ENSG00000273443	RP11-54O7.18
76	1	1070966	1074307	ENSG00000237330	RNF223
77	1	1081818	1116361	ENSG00000131591	C1orf159
78	1	1137017	1144056	ENSG00000223823	LINC01342
79	1	1167104	1167198	ENSG00000207730	MIR200B
80	1	1167863	1167952	ENSG00000207607	MIR200A
81	1	1169005	1169087	ENSG00000198976	MIR429
82	1	1169357	1170343	ENSG00000272141	RP11-465B22.8
83	1	1173056	1179555	ENSG00000205231	TTLL10-AS1
84	1	1173884	1197935	ENSG00000162571	TTLL10
85	1	1203508	1206691	ENSG00000186891	TNFRSF18
86	1	1211326	1214138	ENSG00000186827	TNFRSF4
87	1	1216908	1232031	ENSG00000078808	SDF4
88	1	1232265	1235041	ENSG00000176022	B3GALT6
89	1	1242446	1246722	ENSG00000184163	FAM132A
90	1	1249777	1251334	ENSG00000260179	RP5-902P8.12
91	1	1253909	1273885	ENSG00000160087	UBE2J2
92	1	1275223	1280420	ENSG00000230415	RP5-902P8.10
93	1	1280436	1292029	ENSG00000162572	SCNN1D
94	1	1292376	1309609	ENSG00000131584	ACAP3
95	1	1296110	1296170	ENSG00000278073	MIR6726
96	1	1308567	1311677	ENSG00000169972	PUSL1
97	1	1311585	1324691	ENSG00000127054	CPSF3L
98	1	1317581	1318689	ENSG00000240731	RP5-890O3.9
99	1	1324756	1328897	ENSG00000224051	CPTP
100	1	1331314	1335306	ENSG00000169962	TAS1R3
